"","ssn","annual_income"
"1",100009868,52200
"2",100169584,64500
"3",100300433,74400
"4",100355733,35900
"5",100366269,73000
"6",100593316,16100
"7",100626193,10800
"8",100739881,53800
"9",100749089,61200
"10",100958115,51200
"11",100963372,49200
"12",101173464,78000
"13",101223138,64900
"14",101325996,79900
"15",101327504,88400
"16",101469870,37400
"17",101746841,19700
"18",101776262,41000
"19",102088059,13300
"20",102143518,21500
"21",102283594,11300
"22",102449982,67400
"23",102491708,51200
"24",102496854,14800
"25",102503205,324800
"26",102565325,37400
"27",102629149,22100
"28",102772052,20600
"29",102815882,61900
"30",102935636,58800
"31",103003881,36200
"32",103025619,81400
"33",103046587,17000
"34",103254270,74100
"35",103633864,86300
"36",103903248,46400
"37",103924314,45000
"38",103969653,87600
"39",104387069,29900
"40",104590588,17900
"41",104723130,70600
"42",104789099,30100
"43",105007923,75300
"44",105016510,19300
"45",105183209,51100
"46",105296868,78000
"47",105395377,65000
"48",105623827,40900
"49",105736446,47000
"50",106500806,56100
"51",106649311,44400
"52",106757631,45700
"53",107241963,75200
"54",107358050,80200
"55",107647899,45500
"56",107666913,25700
"57",107697649,61600
"58",107718040,48200
"59",107729488,61100
"60",107862470,41600
"61",107915248,14300
"62",107948658,89100
"63",108004679,16600
"64",108155182,23500
"65",108276259,41300
"66",108312070,12300
"67",108335561,88200
"68",108344301,64200
"69",108412634,42100
"70",108446565,15900
"71",108481018,81400
"72",108646939,72500
"73",108808835,64100
"74",108814900,64000
"75",108979166,74600
"76",109157931,51500
"77",109437040,24700
"78",109437942,24800
"79",109666499,30900
"80",109728807,11200
"81",109778997,32300
"82",109799993,11400
"83",109969192,84000
"84",110073633,38300
"85",110337379,84300
"86",110517470,38400
"87",110523316,44900
"88",110649084,50700
"89",110677997,51600
"90",110805190,48500
"91",110982079,53500
"92",111369877,40900
"93",111411498,51500
"94",111468782,37700
"95",111659809,86000
"96",112108615,18300
"97",112250032,87600
"98",112369470,25800
"99",112458011,30000
"100",112644129,27300
"101",112689438,64800
"102",112822004,10000
"103",112860318,59100
"104",112866542,82700
"105",112897459,75300
"106",112906978,34700
"107",113091273,54100
"108",113128711,66200
"109",113335405,20700
"110",113361320,78100
"111",113412567,62000
"112",113438176,27200
"113",113520720,46300
"114",113847335,86300
"115",113850732,88900
"116",114042399,14000
"117",114085010,47700
"118",114115650,18900
"119",114177938,65200
"120",114312368,30500
"121",114470474,11300
"122",114495962,49000
"123",114751448,18100
"124",115150327,31100
"125",115228979,74100
"126",115353297,34900
"127",115594104,18600
"128",115685484,44600
"129",115817723,51100
"130",115913181,67500
"131",116040225,55900
"132",116116249,45600
"133",116271939,14200
"134",116323897,75900
"135",116635967,21100
"136",116645971,71900
"137",116703347,28000
"138",116719255,76400
"139",116953203,87700
"140",117065932,77800
"141",117066544,25000
"142",117273843,52700
"143",117282137,59900
"144",117313744,61100
"145",117562773,86700
"146",117567824,19700
"147",117594664,71500
"148",117682576,12200
"149",117797488,88300
"150",118015315,486600
"151",118015678,32400
"152",118328459,54400
"153",118466314,31600
"154",118594597,57800
"155",118642277,48400
"156",118738287,43000
"157",118759801,48600
"158",118787594,35600
"159",118828432,37900
"160",118963617,32100
"161",119262139,56500
"162",119304532,35100
"163",119364541,17300
"164",119658841,75900
"165",119680797,84600
"166",119721490,23100
"167",119849532,31400
"168",119991974,10300
"169",119993657,62300
"170",120074206,14600
"171",120410347,33700
"172",120584530,57600
"173",120621957,41600
"174",121201100,77600
"175",121282864,34100
"176",121285133,61800
"177",121474802,75300
"178",121547171,28400
"179",121590879,78700
"180",121593587,56600
"181",121596571,71700
"182",121635236,489800
"183",121660089,39000
"184",121798296,84900
"185",121899925,59300
"186",121930822,79700
"187",122088011,46800
"188",122109029,38200
"189",122493530,31500
"190",122508117,38200
"191",122706881,43800
"192",122753102,78800
"193",123098589,76600
"194",123107875,26000
"195",123289664,87700
"196",123454171,42600
"197",123699800,19300
"198",123705608,64900
"199",123755248,28500
"200",123818685,64100
"201",123834169,24300
"202",123855373,80900
"203",123984078,73000
"204",124071983,85800
"205",124073682,36400
"206",124096135,175300
"207",124179157,48300
"208",124728986,24200
"209",124754343,84600
"210",124934384,65300
"211",124964846,76100
"212",125011079,59600
"213",125071601,26900
"214",125115762,77700
"215",125274835,28900
"216",125317567,61000
"217",125339862,37500
"218",125434937,85700
"219",125520513,12000
"220",125591047,81800
"221",125676669,70300
"222",125754199,86000
"223",126201289,40000
"224",126257485,37900
"225",126309165,47200
"226",126404314,28800
"227",126834227,55200
"228",126905168,71300
"229",126986130,58100
"230",127104140,34500
"231",127286933,72600
"232",127674257,32900
"233",127700519,30900
"234",127711530,23500
"235",127729795,33400
"236",127747175,29300
"237",127874906,45100
"238",127936938,49400
"239",127955318,40000
"240",127956257,68300
"241",128273017,48800
"242",128371225,52700
"243",128433771,19100
"244",128486669,21600
"245",128693796,25600
"246",128724962,55500
"247",129122621,61400
"248",129135267,61400
"249",129253032,64000
"250",129454199,81900
"251",129569444,80800
"252",129633740,60300
"253",129886273,42300
"254",129991779,14000
"255",130138140,58900
"256",130168087,28100
"257",130276880,407100
"258",130351942,76400
"259",130424675,69200
"260",130766062,13700
"261",130878142,52900
"262",131065207,39500
"263",131161971,78000
"264",131182748,15800
"265",131209523,33300
"266",131379495,45700
"267",131474015,59300
"268",131831676,47700
"269",131934163,38100
"270",132012429,83000
"271",132159909,76700
"272",132346471,82200
"273",132468675,83300
"274",132504178,68400
"275",132545140,84500
"276",132759634,39000
"277",132818530,45400
"278",133038086,89600
"279",133118496,86800
"280",133132300,73400
"281",133243675,74200
"282",133258803,60100
"283",133511657,63100
"284",133544817,28200
"285",133690837,75800
"286",133749912,61800
"287",133992903,51700
"288",134244726,11200
"289",134346691,38000
"290",134365961,73800
"291",134385777,26700
"292",134463268,15800
"293",134471007,47100
"294",134502038,61600
"295",134628616,56400
"296",135240486,66200
"297",135374633,83700
"298",135448022,43500
"299",135523673,51000
"300",135617031,23400
"301",135760897,27500
"302",136068816,56000
"303",136090221,32000
"304",136248422,40300
"305",136267563,33600
"306",136282817,55600
"307",136464169,14400
"308",136606215,14200
"309",136640452,12400
"310",136766041,87300
"311",136771931,17400
"312",136799999,66100
"313",136805607,35700
"314",136934763,162300
"315",136966556,32000
"316",137139437,64900
"317",137194480,65700
"318",137439011,64400
"319",137486294,76400
"320",137539997,21100
"321",137613890,85300
"322",137670064,37000
"323",137727946,86100
"324",138023771,70400
"325",138161179,393000
"326",138189000,39200
"327",138279168,16200
"328",138335370,53200
"329",138337698,75400
"330",138445602,39400
"331",138540029,65600
"332",138685422,69000
"333",138742367,82600
"334",138763693,54600
"335",138841981,20300
"336",138855460,78400
"337",138862564,16900
"338",138916851,82000
"339",139197364,16800
"340",139561582,85600
"341",139743281,44600
"342",139806098,32600
"343",139839778,13500
"344",140063386,16300
"345",140187574,16500
"346",140196819,75500
"347",140463871,41800
"348",140729334,57200
"349",140938099,71600
"350",140986937,14100
"351",141017494,21000
"352",141091981,36000
"353",141107780,27800
"354",141119820,25900
"355",141176543,29000
"356",141221380,29500
"357",141291358,82800
"358",141304826,73900
"359",141387442,67100
"360",141562198,21300
"361",141875551,75000
"362",141892055,23100
"363",141956049,21000
"364",141994651,51800
"365",142029418,32700
"366",142104179,32400
"367",142300453,66900
"368",142304816,49900
"369",142602126,39500
"370",142689026,39900
"371",142911220,41200
"372",143155880,44700
"373",143197463,43100
"374",143204086,22600
"375",143258134,55000
"376",143598870,35300
"377",143683616,27900
"378",143718325,14100
"379",143778858,68100
"380",143878802,19100
"381",143880090,34500
"382",143993389,80500
"383",144110580,89100
"384",144342097,64000
"385",144450000,57200
"386",144516473,41900
"387",144646460,13100
"388",144915680,40300
"389",144969469,10700
"390",145431657,68800
"391",145771061,17900
"392",146123517,62000
"393",146131058,17600
"394",146341668,57800
"395",146342078,15300
"396",146371018,53000
"397",146460395,17100
"398",146662669,65400
"399",146714033,40200
"400",146716843,89000
"401",146821585,86200
"402",146822498,325200
"403",147304282,16900
"404",147337409,69200
"405",147417851,76400
"406",147534844,76100
"407",147713110,39300
"408",147750029,44600
"409",147757864,34100
"410",147782541,11400
"411",147904091,65500
"412",148083930,75600
"413",148249333,79100
"414",148299453,82200
"415",148350459,77700
"416",148499097,66000
"417",148521773,28700
"418",148572992,78700
"419",148637123,27600
"420",148856999,37600
"421",148913737,18200
"422",149012778,10500
"423",149045552,431400
"424",149124118,87400
"425",149413220,45000
"426",149423383,23000
"427",149440290,50100
"428",149449252,56600
"429",149562384,40400
"430",149576488,26100
"431",149751568,51600
"432",149891419,72700
"433",150085104,52800
"434",150207060,28000
"435",150257890,31900
"436",150262416,38700
"437",150314160,68700
"438",150355677,45100
"439",150631392,64900
"440",150767095,54200
"441",150872017,50600
"442",151113683,79000
"443",151193048,50900
"444",151273409,26700
"445",151508572,16000
"446",151652261,85300
"447",151678973,64300
"448",151742076,38300
"449",152148695,72300
"450",152366200,59600
"451",152441229,73500
"452",152500869,58800
"453",152551704,32800
"454",152585400,47000
"455",152757888,20800
"456",153055536,32800
"457",153123358,27500
"458",153140176,15900
"459",153148725,64300
"460",153552734,29300
"461",153629165,66300
"462",153640753,65600
"463",153811741,25600
"464",153883457,45300
"465",154335292,53700
"466",154344536,87800
"467",154500471,33400
"468",154539314,27800
"469",154550289,48100
"470",154624345,87300
"471",154772246,33000
"472",155104244,55600
"473",155466209,73500
"474",155870580,85800
"475",155981265,62200
"476",156131908,32600
"477",156634570,20300
"478",156807407,65200
"479",156833000,61800
"480",156854117,63900
"481",156928160,16200
"482",157044353,60400
"483",157197079,48000
"484",157215829,16500
"485",157258315,50400
"486",157277217,83200
"487",157411221,17100
"488",157422831,23100
"489",157560207,32100
"490",157749299,18300
"491",157868118,70900
"492",157888298,37300
"493",157948892,28400
"494",158233323,57200
"495",158260002,18300
"496",158410987,88300
"497",158430803,22100
"498",158688705,41500
"499",158737114,39100
"500",158806410,86900
"501",159238285,40100
"502",159304270,20000
"503",159326774,58000
"504",159387527,23700
"505",159537641,42400
"506",159572777,88600
"507",159734736,71300
"508",159780190,78100
"509",159917405,62800
"510",159968509,38100
"511",160235544,13300
"512",160344614,19000
"513",160550535,75100
"514",160652239,38400
"515",160689223,30700
"516",160772507,52100
"517",160927501,41100
"518",160988941,52800
"519",161001907,25800
"520",161006634,14300
"521",161023898,33200
"522",161027132,57000
"523",161150901,70100
"524",161161852,65500
"525",161270248,44500
"526",161296137,30700
"527",161336806,35500
"528",161348559,39800
"529",161369458,66800
"530",161483327,85600
"531",161698065,81900
"532",161744292,71100
"533",161816051,11900
"534",161859292,66300
"535",161873418,36600
"536",161885258,76300
"537",162128533,43500
"538",162273148,37600
"539",162357034,44700
"540",162712982,23600
"541",162749155,33300
"542",162760422,18100
"543",162817009,60700
"544",162837057,19000
"545",162940402,43300
"546",163233822,31400
"547",163244505,52100
"548",163244779,42600
"549",163247539,30700
"550",163318760,57300
"551",163321165,34500
"552",163346220,89700
"553",163352361,42600
"554",163358869,64000
"555",163463152,82300
"556",163498154,79500
"557",163505491,19100
"558",163598169,20000
"559",163751490,77200
"560",163752620,30300
"561",163817914,38900
"562",163935541,39200
"563",163972781,11800
"564",163996918,87000
"565",164305892,51200
"566",164437058,36800
"567",164526743,27000
"568",164734951,53700
"569",164741326,46300
"570",164816306,82900
"571",165306779,17000
"572",165473069,50000
"573",165554500,12300
"574",165794950,59700
"575",166311903,52900
"576",166438348,19000
"577",166510775,30800
"578",166751005,32300
"579",166761092,19700
"580",166839902,55200
"581",166856621,76400
"582",167060077,54800
"583",167104194,82100
"584",167304464,23100
"585",167618038,15400
"586",167746176,78000
"587",167884469,60300
"588",168125020,49200
"589",168221511,47600
"590",168244275,84700
"591",168253971,47400
"592",168346038,85000
"593",168371137,89600
"594",168480221,50300
"595",168552488,33500
"596",168687472,65200
"597",168882430,60500
"598",168891557,74400
"599",168899875,89700
"600",168980608,60100
"601",169063566,17500
"602",169150981,85300
"603",169157385,86900
"604",169162503,19100
"605",169209805,56900
"606",169454262,78100
"607",169458835,88200
"608",169551532,54800
"609",169630206,27400
"610",169669311,69100
"611",169700451,35000
"612",169804689,83600
"613",169902955,31100
"614",169905061,14800
"615",169953786,55900
"616",169969592,22700
"617",170321674,17800
"618",170444522,58800
"619",170604369,58100
"620",170918667,55900
"621",171496440,83200
"622",171805586,89600
"623",171996374,36300
"624",172421855,73700
"625",172506064,66500
"626",172612200,75300
"627",172921379,55200
"628",172952371,23400
